instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,kaggle_fold,high_card,cnt_REGR,cnt_CLASS,cnt_MULTICLASS
24,2011-01-01,1_winter,2011,01,23,0,6_Sat,No,2_misty,13.620000000000001,13.997,0.88,19.999499999999998,15,24,39,train,0.88,3.6888794541139363,0_low,0_low
25,2011-01-02,1_winter,2011,01,00,0,0_Sun,No,2_misty,13.620000000000001,13.997,0.88,19.999499999999998,4,13,17,train,0.88,2.8903717578961645,0_low,0_low
26,2011-01-02,1_winter,2011,01,01,0,0_Sun,No,2_misty,12.68,13.000399999999999,0.94,16.997899999999998,1,16,17,train,0.94,2.8903717578961645,0_low,0_low
27,2011-01-02,1_winter,2011,01,02,0,0_Sun,No,2_misty,11.739999999999998,11.997200000000003,1,19.0012,1,8,9,train,1,2.302585092994046,0_low,0_low
28,2011-01-02,1_winter,2011,01,03,0,0_Sun,No,2_misty,13.620000000000001,13.997,0.94,12.998000000000001,2,4,6,train,0.94,1.9459101490553132,0_low,0_low
29,2011-01-02,1_winter,2011,01,04,NA,0_Sun,No,2_misty,13.620000000000001,13.997,0.94,12.998000000000001,2,1,3,train,0.94,1.3862943611198906,0_low,0_low
30,2011-01-02,1_winter,2011,01,06,0,0_Sun,No,3_light rain,11.739999999999998,11.997200000000003,0.77,19.999499999999998,0,2,2,train,0.77,1.0986122886681098,0_low,0_low
31,2011-01-02,1_winter,2011,01,07,0,0_Sun,No,2_misty,10.8,11.000600000000002,0.76,12.998000000000001,0,1,1,train,0.76,0.6931471805599453,0_low,0_low
32,2011-01-02,1_winter,2011,01,08,0,0_Sun,No,3_light rain,10.8,11.000600000000002,0.71,15.001299999999999,0,8,8,train,0.71,2.1972245773362196,0_low,0_low
33,2011-01-02,1_winter,2011,01,09,0,0_Sun,No,2_misty,9.86,9.997399999999999,0.76,15.001299999999999,1,19,20,train,0.76,3.044522437723423,0_low,0_low
34,2011-01-02,1_winter,2011,01,10,0,0_Sun,No,2_misty,8.919999999999998,7.000999999999998,0.81,15.001299999999999,7,46,53,train,0.81,3.9889840465642745,0_low,0_low
35,2011-01-02,1_winter,2011,01,11,0,0_Sun,No,2_misty,8.919999999999998,5.997799999999998,0.71,16.997899999999998,16,54,70,train,0.71,4.2626798770413155,0_low,0_low
36,2011-01-02,1_winter,2011,01,12,0,0_Sun,No,2_misty,8.919999999999998,5.997799999999998,0.66,19.999499999999998,20,73,93,train,0.66,4.543294782270004,0_low,0_low
37,2011-01-02,1_winter,2011,01,13,0,0_Sun,No,2_misty,8.919999999999998,7.000999999999998,0.66,8.9981,11,64,75,train,0.66,4.330733340286331,0_low,0_low
38,2011-01-02,1_winter,2011,01,14,0,0_Sun,No,3_light rain,8.919999999999998,7.000999999999998,0.76,12.998000000000001,4,55,59,train,0.76,4.0943445622221,0_low,0_low
39,2011-01-02,1_winter,2011,01,15,0,0_Sun,No,3_light rain,7.98,5.997799999999998,0.81,11.0014,19,55,74,train,0.81,4.31748811353631,0_low,0_low
40,2011-01-02,1_winter,2011,01,16,0,0_Sun,No,3_light rain,7.98,5.997799999999998,0.71,11.0014,9,67,76,train,0.71,4.343805421853684,0_low,0_low
41,2011-01-02,1_winter,2011,01,17,0,0_Sun,No,1_clear,7.98,5.997799999999998,0.57,12.998000000000001,7,58,65,train,0.57,4.189654742026425,0_low,0_low
42,2011-01-02,1_winter,2011,01,18,0,0_Sun,No,2_misty,8.919999999999998,5.997799999999998,0.46,22.0028,10,43,53,train,0.46,3.9889840465642745,0_low,0_low
43,2011-01-02,1_winter,2011,01,19,0,0_Sun,No,1_clear,7.040000000000001,3.0014000000000003,0.42,30.002599999999997,1,29,30,train,0.42,3.4339872044851463,0_low,0_low
44,2011-01-02,1_winter,2011,01,20,0,0_Sun,No,1_clear,6.1,1.9982000000000006,0.39,23.9994,5,17,22,train,0.39,3.1354942159291497,0_low,0_low
45,2011-01-02,1_winter,2011,01,21,0,0_Sun,No,1_clear,4.220000000000001,-0.9982000000000006,0.44,22.0028,11,20,31,train,0.44,3.4657359027997265,0_low,0_low
46,2011-01-02,1_winter,2011,01,22,0,0_Sun,No,1_clear,3.2799999999999994,-2.0013999999999985,0.44,19.999499999999998,0,9,9,train,0.44,2.302585092994046,0_low,0_low
47,2011-01-02,1_winter,2011,01,23,NA,0_Sun,No,1_clear,2.34,-0.9982000000000006,0.47,11.0014,0,8,8,train,0.47,2.1972245773362196,0_low,0_low
48,2011-01-03,1_winter,2011,01,00,0,1_Mon,Yes,1_clear,2.34,-2.9979999999999993,0.44,23.9994,0,5,5,train,0.44,1.791759469228055,0_low,0_low
49,2011-01-03,1_winter,2011,01,01,0,1_Mon,Yes,1_clear,1.4000000000000004,-4.997800000000002,0.44,27.999299999999998,0,2,2,train,0.44,1.0986122886681098,0_low,0_low
50,2011-01-03,1_winter,2011,01,04,0,1_Mon,Yes,1_clear,-0.47999999999999954,-6.9976,0.47,26.0027,0,1,1,train,0.47,0.6931471805599453,0_low,0_low
51,2011-01-03,1_winter,2011,01,05,0,1_Mon,Yes,1_clear,-0.47999999999999954,-6.9976,0.47,19.0012,0,3,3,train,0.47,1.3862943611198906,0_low,0_low
52,2011-01-03,1_winter,2011,01,06,0,1_Mon,Yes,1_clear,-1.419999999999999,-8.997399999999999,0.5,26.0027,0,30,30,train,0.5,3.4339872044851463,0_low,0_low
53,2011-01-03,1_winter,2011,01,07,0,1_Mon,Yes,1_clear,-1.419999999999999,-6.9976,0.5,12.998000000000001,1,63,64,train,0.5,4.174387269895637,0_low,0_low
54,2011-01-03,1_winter,2011,01,08,0,1_Mon,Yes,1_clear,-1.419999999999999,-8.0008,0.5,19.0012,1,153,154,train,0.5,5.043425116919247,0_low,0_low
55,2011-01-03,1_winter,2011,01,09,0,1_Mon,Yes,1_clear,-0.47999999999999954,-6.9976,0.43,26.0027,7,81,88,train,0.43,4.48863636973214,0_low,0_low
56,2011-01-03,1_winter,2011,01,10,0,1_Mon,Yes,1_clear,0.4599999999999991,-4.997800000000002,0.43,16.997899999999998,11,33,44,train,0.43,3.8066624897703196,0_low,0_low
57,2011-01-03,1_winter,2011,01,11,0,1_Mon,Yes,1_clear,1.4000000000000004,-4.001200000000001,0.4,22.0028,10,41,51,train,0.4,3.9512437185814275,0_low,0_low
58,2011-01-03,1_winter,2011,01,12,0,1_Mon,Yes,1_clear,2.34,-2.0013999999999985,0.35,19.999499999999998,13,48,61,train,0.35,4.127134385045092,0_low,0_low
59,2011-01-03,1_winter,2011,01,13,0,1_Mon,Yes,1_clear,3.2799999999999994,-2.0013999999999985,0.35,19.0012,8,53,61,train,0.35,4.127134385045092,0_low,0_low
60,2011-01-03,1_winter,2011,01,14,0,1_Mon,Yes,1_clear,4.220000000000001,-0.0015999999999998238,0.3,19.0012,11,66,77,train,0.3,4.356708826689592,0_low,0_low
61,2011-01-03,1_winter,2011,01,15,0,1_Mon,Yes,1_clear,4.220000000000001,-0.0015999999999998238,0.3,16.997899999999998,14,58,72,train,0.3,4.290459441148391,0_low,0_low
62,2011-01-03,1_winter,2011,01,16,0,1_Mon,Yes,1_clear,4.220000000000001,-0.0015999999999998238,0.3,16.997899999999998,9,67,76,train,0.3,4.343805421853684,0_low,0_low
63,2011-01-03,1_winter,2011,01,17,0,1_Mon,Yes,1_clear,3.2799999999999994,-0.9982000000000006,0.3,15.001299999999999,11,146,157,train,0.3,5.062595033026967,0_low,0_low
64,2011-01-03,1_winter,2011,01,18,0,1_Mon,Yes,1_clear,3.2799999999999994,1.0015999999999998,0.32,7.0015,9,148,157,train,0.32,5.062595033026967,0_low,0_low
65,2011-01-03,1_winter,2011,01,19,NA,1_Mon,Yes,1_clear,1.4000000000000004,1.0015999999999998,0.47,NA,8,102,110,train,0.47,4.709530201312334,0_low,0_low
66,2011-01-03,1_winter,2011,01,20,NA,1_Mon,Yes,1_clear,1.4000000000000004,-0.9982000000000006,0.47,7.0015,3,49,52,train,0.47,3.970291913552122,0_low,0_low
67,2011-01-03,1_winter,2011,01,21,0,1_Mon,Yes,1_clear,0.4599999999999991,-2.9979999999999993,0.64,8.9981,3,49,52,train,0.64,3.970291913552122,0_low,0_low
68,2011-01-03,1_winter,2011,01,22,0,1_Mon,Yes,1_clear,-1.419999999999999,-6.0009999999999994,0.69,8.9981,0,20,20,train,0.69,3.044522437723423,0_low,0_low
69,2011-01-03,1_winter,2011,01,23,0,1_Mon,Yes,1_clear,0.4599999999999991,-2.0013999999999985,0.55,7.0015,1,11,12,train,0.55,2.5649493574615367,0_low,0_low
70,2011-01-04,1_winter,2011,01,00,0,2_Tue,Yes,1_clear,-0.47999999999999954,-4.001200000000001,0.55,7.0015,0,5,5,train,0.55,1.791759469228055,0_low,0_low
71,2011-01-04,1_winter,2011,01,01,0,2_Tue,Yes,1_clear,-0.47999999999999954,-4.001200000000001,0.59,7.0015,0,2,2,train,0.59,1.0986122886681098,0_low,0_low
72,2011-01-04,1_winter,2011,01,02,0,2_Tue,Yes,1_clear,-1.419999999999999,-6.0009999999999994,0.63,8.9981,0,1,1,train,0.63,0.6931471805599453,0_low,0_low
73,2011-01-04,1_winter,2011,01,04,0,2_Tue,Yes,1_clear,-1.419999999999999,-4.001200000000001,0.63,6.0032,0,2,2,train,0.63,1.0986122886681098,0_low,0_low
74,2011-01-04,1_winter,2011,01,05,0,2_Tue,Yes,1_clear,-2.3600000000000003,-6.0009999999999994,0.68,7.0015,0,4,4,train,0.68,1.6094379124341003,0_low,0_low
75,2011-01-04,1_winter,2011,01,06,0,2_Tue,Yes,1_clear,-2.3600000000000003,-6.0009999999999994,0.74,7.0015,0,36,36,train,0.74,3.6109179126442243,0_low,0_low
76,2011-01-04,1_winter,2011,01,07,0,2_Tue,Yes,1_clear,-2.3600000000000003,-6.0009999999999994,0.74,8.9981,2,92,94,train,0.74,4.553876891600541,0_low,0_low
77,2011-01-04,1_winter,2011,01,08,0,2_Tue,Yes,1_clear,-1.419999999999999,-6.0009999999999994,0.69,11.0014,2,177,179,train,0.69,5.19295685089021,0_low,0_low
78,2011-01-04,1_winter,2011,01,09,0,2_Tue,Yes,1_clear,-0.47999999999999954,-6.0009999999999994,0.64,15.001299999999999,2,98,100,train,0.64,4.61512051684126,0_low,0_low
79,2011-01-04,1_winter,2011,01,10,0,2_Tue,Yes,2_misty,-0.47999999999999954,-6.9976,0.69,22.0028,5,37,42,train,0.69,3.7612001156935624,0_low,0_low
80,2011-01-04,1_winter,2011,01,11,0,2_Tue,Yes,1_clear,2.34,-2.0013999999999985,0.51,19.999499999999998,7,50,57,train,0.51,4.060443010546419,0_low,0_low
81,2011-01-04,1_winter,2011,01,12,NA,2_Tue,Yes,1_clear,2.34,-0.9982000000000006,0.51,11.0014,12,66,78,train,0.51,4.3694478524670215,0_low,0_low
82,2011-01-04,1_winter,2011,01,13,0,2_Tue,Yes,1_clear,3.2799999999999994,-0.9982000000000006,0.56,12.998000000000001,18,79,97,train,0.56,4.584967478670572,0_low,0_low
83,2011-01-04,1_winter,2011,01,14,0,2_Tue,Yes,1_clear,4.220000000000001,1.0015999999999998,0.52,15.001299999999999,9,54,63,train,0.52,4.1588830833596715,0_low,0_low
84,2011-01-04,1_winter,2011,01,15,0,2_Tue,Yes,1_clear,5.160000000000002,1.9982000000000006,0.52,16.997899999999998,17,48,65,train,0.52,4.189654742026425,0_low,0_low
85,2011-01-04,1_winter,2011,01,16,0,2_Tue,Yes,1_clear,6.1,3.0014000000000003,0.49,16.997899999999998,15,68,83,train,0.49,4.430816798843313,0_low,0_low
86,2011-01-04,1_winter,2011,01,17,0,2_Tue,Yes,1_clear,5.160000000000002,1.9982000000000006,0.48,15.001299999999999,10,202,212,train,0.48,5.3612921657094255,0_low,0_low
87,2011-01-04,1_winter,2011,01,18,0,2_Tue,Yes,1_clear,4.220000000000001,1.0015999999999998,0.48,12.998000000000001,3,179,182,train,0.48,5.209486152841421,0_low,0_low
88,2011-01-04,1_winter,2011,01,19,0,2_Tue,Yes,1_clear,3.2799999999999994,1.0015999999999998,0.48,7.0015,2,110,112,train,0.48,4.727387818712341,0_low,0_low
89,2011-01-04,1_winter,2011,01,20,0,2_Tue,Yes,1_clear,3.2799999999999994,1.0015999999999998,0.48,7.0015,1,53,54,train,0.48,4.007333185232471,0_low,0_low
90,2011-01-04,1_winter,2011,01,21,0,2_Tue,Yes,1_clear,2.34,1.9982000000000006,0.64,NA,0,48,48,train,0.64,3.8918202981106265,0_low,0_low
91,2011-01-04,1_winter,2011,01,22,0,2_Tue,Yes,1_clear,2.34,1.0015999999999998,0.64,6.0032,1,34,35,train,0.64,3.58351893845611,0_low,0_low
92,2011-01-04,1_winter,2011,01,23,0,2_Tue,Yes,1_clear,1.4000000000000004,-0.9982000000000006,0.69,6.0032,2,9,11,train,0.69,2.4849066497880004,0_low,0_low
93,2011-01-05,1_winter,2011,01,00,0,3_Wed,Yes,1_clear,1.4000000000000004,1.0015999999999998,0.64,NA,0,6,6,train,0.64,1.9459101490553132,0_low,0_low
94,2011-01-05,1_winter,2011,01,01,0,3_Wed,Yes,1_clear,-0.47999999999999954,-2.9979999999999993,0.74,6.0032,0,6,6,train,0.74,1.9459101490553132,0_low,0_low
95,2011-01-05,1_winter,2011,01,02,0,3_Wed,Yes,1_clear,-0.47999999999999954,-2.9979999999999993,0.74,6.0032,0,2,2,train,0.74,1.0986122886681098,0_low,0_low
96,2011-01-05,1_winter,2011,01,04,0,3_Wed,Yes,1_clear,3.2799999999999994,-0.9982000000000006,0.48,15.001299999999999,0,2,2,train,0.48,1.0986122886681098,0_low,0_low
97,2011-01-05,1_winter,2011,01,05,0,3_Wed,Yes,1_clear,2.34,-0.9982000000000006,0.47,11.0014,0,3,3,train,0.47,1.3862943611198906,0_low,0_low
98,2011-01-05,1_winter,2011,01,06,NA,3_Wed,Yes,1_clear,1.4000000000000004,-2.9979999999999993,0.47,15.001299999999999,0,33,33,train,0.47,3.5263605246161616,0_low,0_low
99,2011-01-05,1_winter,2011,01,07,0,3_Wed,Yes,1_clear,0.4599999999999991,-4.001200000000001,0.43,12.998000000000001,1,87,88,train,0.43,4.48863636973214,0_low,0_low
100,2011-01-05,1_winter,2011,01,08,0,3_Wed,Yes,1_clear,1.4000000000000004,-4.001200000000001,0.4,19.999499999999998,3,192,195,train,0.4,5.278114659230517,0_low,0_low
101,2011-01-05,1_winter,2011,01,09,0,3_Wed,Yes,1_clear,2.34,-2.9979999999999993,0.37,22.0028,6,109,115,train,0.37,4.7535901911063645,0_low,0_low
102,2011-01-05,1_winter,2011,01,10,0,3_Wed,Yes,1_clear,2.34,-2.9979999999999993,0.37,22.0028,4,53,57,train,0.37,4.060443010546419,0_low,0_low
103,2011-01-05,1_winter,2011,01,11,0,3_Wed,Yes,1_clear,4.220000000000001,-0.9982000000000006,0.33,22.0028,12,34,46,train,0.33,3.8501476017100584,0_low,0_low
104,2011-01-05,1_winter,2011,01,12,0,3_Wed,Yes,1_clear,4.220000000000001,-0.9982000000000006,0.33,22.0028,5,74,79,train,0.33,4.382026634673881,0_low,0_low
105,2011-01-05,1_winter,2011,01,13,0,3_Wed,Yes,1_clear,5.160000000000002,1.0015999999999998,0.3,19.999499999999998,6,65,71,train,0.3,4.276666119016055,0_low,0_low
106,2011-01-05,1_winter,2011,01,14,0,3_Wed,Yes,1_clear,6.1,3.0014000000000003,0.28,12.998000000000001,10,52,62,train,0.28,4.143134726391533,0_low,0_low
107,2011-01-05,1_winter,2011,01,15,NA,3_Wed,Yes,1_clear,6.1,3.0014000000000003,0.28,12.998000000000001,7,55,62,train,0.28,4.143134726391533,0_low,0_low
108,2011-01-05,1_winter,2011,01,16,0,3_Wed,Yes,1_clear,6.1,5.001199999999997,0.28,6.0032,4,85,89,train,0.28,4.499809670330265,0_low,0_low
109,2011-01-05,1_winter,2011,01,17,0,3_Wed,Yes,1_clear,3.2799999999999994,-0.9982000000000006,0.38,12.998000000000001,4,186,190,train,0.38,5.25227342804663,0_low,0_low
110,2011-01-05,1_winter,2011,01,18,0,3_Wed,Yes,1_clear,3.2799999999999994,-0.0015999999999998238,0.38,8.9981,3,166,169,train,0.38,5.135798437050262,0_low,0_low
111,2011-01-05,1_winter,2011,01,19,0,3_Wed,Yes,1_clear,3.2799999999999994,1.0015999999999998,0.38,7.0015,5,127,132,train,0.38,4.890349128221754,0_low,0_low
112,2011-01-05,1_winter,2011,01,20,0,3_Wed,Yes,1_clear,2.34,-0.9982000000000006,0.47,11.0014,7,82,89,train,0.47,4.499809670330265,0_low,0_low
113,2011-01-05,1_winter,2011,01,21,0,3_Wed,Yes,1_clear,1.4000000000000004,-2.9979999999999993,0.51,12.998000000000001,3,40,43,train,0.51,3.784189633918261,0_low,0_low
114,2011-01-05,1_winter,2011,01,22,0,3_Wed,Yes,1_clear,0.4599999999999991,-2.9979999999999993,0.55,8.9981,1,41,42,train,0.55,3.7612001156935624,0_low,0_low
115,2011-01-05,1_winter,2011,01,23,NA,3_Wed,Yes,1_clear,1.4000000000000004,1.0015999999999998,0.47,NA,1,18,19,train,0.47,2.995732273553991,0_low,0_low
116,2011-01-06,1_winter,2011,01,00,0,4_Thu,Yes,1_clear,0.4599999999999991,-0.0015999999999998238,0.55,NA,0,11,11,train,0.55,2.4849066497880004,0_low,0_low
117,2011-01-06,1_winter,2011,01,01,0,4_Thu,Yes,1_clear,-0.47999999999999954,-0.9982000000000006,0.64,NA,0,4,4,train,0.64,1.6094379124341003,0_low,0_low
118,2011-01-06,1_winter,2011,01,02,0,4_Thu,Yes,1_clear,-0.47999999999999954,-0.9982000000000006,0.64,NA,0,2,2,train,0.64,1.0986122886681098,0_low,0_low
119,2011-01-06,1_winter,2011,01,04,NA,4_Thu,Yes,2_misty,-0.47999999999999954,-2.9979999999999993,0.64,6.0032,0,1,1,train,0.64,0.6931471805599453,0_low,0_low
120,2011-01-06,1_winter,2011,01,05,0,4_Thu,Yes,2_misty,-1.419999999999999,-4.001200000000001,0.69,6.0032,0,4,4,train,0.69,1.6094379124341003,0_low,0_low
121,2011-01-06,1_winter,2011,01,06,0,4_Thu,Yes,2_misty,-1.419999999999999,-4.997800000000002,0.63,7.0015,0,36,36,train,0.63,3.6109179126442243,0_low,0_low
122,2011-01-06,1_winter,2011,01,07,0,4_Thu,Yes,2_misty,-0.47999999999999954,-0.9982000000000006,0.59,NA,0,95,95,train,0.59,4.564348191467836,0_low,0_low
123,2011-01-06,1_winter,2011,01,08,NA,4_Thu,Yes,1_clear,-0.47999999999999954,-0.9982000000000006,0.59,NA,3,216,219,train,0.59,5.393627546352362,0_low,0_low
124,2011-01-06,1_winter,2011,01,09,0,4_Thu,Yes,2_misty,0.4599999999999991,-0.0015999999999998238,0.51,NA,6,116,122,train,0.51,4.812184355372417,0_low,0_low
125,2011-01-06,1_winter,2011,01,10,NA,4_Thu,Yes,1_clear,1.4000000000000004,1.0015999999999998,0.47,NA,3,42,45,train,0.47,3.828641396489095,0_low,0_low
126,2011-01-06,1_winter,2011,01,11,0,4_Thu,Yes,1_clear,2.34,1.0015999999999998,0.44,6.0032,2,57,59,train,0.44,4.0943445622221,0_low,0_low
127,2011-01-06,1_winter,2011,01,12,0,4_Thu,Yes,1_clear,4.220000000000001,3.0014000000000003,0.35,NA,6,78,84,train,0.35,4.442651256490317,0_low,0_low
128,2011-01-06,1_winter,2011,01,13,0,4_Thu,Yes,1_clear,4.220000000000001,1.9982000000000006,0.35,7.0015,12,55,67,train,0.35,4.219507705176107,0_low,0_low
129,2011-01-06,1_winter,2011,01,14,0,4_Thu,Yes,1_clear,5.160000000000002,1.9982000000000006,0.36,11.0014,11,59,70,train,0.36,4.2626798770413155,0_low,0_low
130,2011-01-06,1_winter,2011,01,15,0,4_Thu,Yes,1_clear,5.160000000000002,1.9982000000000006,0.36,NA,8,54,62,train,0.36,4.143134726391533,0_low,0_low
131,2011-01-06,1_winter,2011,01,16,0,4_Thu,Yes,1_clear,4.220000000000001,1.0015999999999998,0.38,11.0014,12,74,86,train,0.38,4.465908118654584,0_low,0_low
132,2011-01-06,1_winter,2011,01,17,0,4_Thu,Yes,1_clear,2.34,-0.9982000000000006,0.51,11.0014,9,163,172,train,0.51,5.153291594497779,0_low,0_low
133,2011-01-06,1_winter,2011,01,18,0,4_Thu,Yes,1_clear,2.34,-0.9982000000000006,0.51,8.9981,5,158,163,train,0.51,5.099866427824199,0_low,0_low
134,2011-01-06,1_winter,2011,01,19,0,4_Thu,Yes,1_clear,2.34,1.0015999999999998,0.55,6.0032,3,109,112,train,0.55,4.727387818712341,0_low,0_low
135,2011-01-06,1_winter,2011,01,20,0,4_Thu,Yes,1_clear,1.4000000000000004,-2.0013999999999985,0.51,11.0014,3,66,69,train,0.51,4.248495242049359,0_low,0_low
136,2011-01-06,1_winter,2011,01,21,0,4_Thu,Yes,2_misty,2.34,-2.0013999999999985,0.55,15.001299999999999,0,48,48,train,0.55,3.8918202981106265,0_low,0_low
137,2011-01-06,1_winter,2011,01,22,0,4_Thu,Yes,2_misty,2.34,-2.0013999999999985,0.51,19.0012,1,51,52,train,0.51,3.970291913552122,0_low,0_low
138,2011-01-06,1_winter,2011,01,23,NA,4_Thu,Yes,2_misty,1.4000000000000004,-2.9979999999999993,0.59,12.998000000000001,4,19,23,train,0.59,3.1780538303479458,0_low,0_low
139,2011-01-07,1_winter,2011,01,00,0,5_Fri,Yes,2_misty,1.4000000000000004,-2.9979999999999993,0.64,12.998000000000001,4,13,17,train,0.64,2.8903717578961645,0_low,0_low
140,2011-01-07,1_winter,2011,01,01,0,5_Fri,Yes,2_misty,1.4000000000000004,-2.9979999999999993,0.69,15.001299999999999,2,5,7,train,0.69,2.0794415416798357,0_low,0_low
141,2011-01-07,1_winter,2011,01,02,0,5_Fri,Yes,2_misty,1.4000000000000004,-2.9979999999999993,0.69,15.001299999999999,0,1,1,train,0.69,0.6931471805599453,0_low,0_low
142,2011-01-07,1_winter,2011,01,04,0,5_Fri,Yes,2_misty,1.4000000000000004,-2.0013999999999985,0.69,8.9981,0,1,1,train,0.69,0.6931471805599453,0_low,0_low
143,2011-01-07,1_winter,2011,01,05,0,5_Fri,Yes,3_light rain,2.34,1.9982000000000006,0.55,NA,0,5,5,train,0.55,1.791759469228055,0_low,0_low
144,2011-01-07,1_winter,2011,01,06,0,5_Fri,Yes,2_misty,1.4000000000000004,1.0015999999999998,0.69,NA,8,26,34,train,0.69,3.5553480614894135,0_low,0_low
145,2011-01-07,1_winter,2011,01,07,0,5_Fri,Yes,1_clear,1.4000000000000004,-2.0013999999999985,0.69,8.9981,8,76,84,train,0.69,4.442651256490317,0_low,0_low
146,2011-01-07,1_winter,2011,01,08,0,5_Fri,Yes,1_clear,1.4000000000000004,-2.9979999999999993,0.51,16.997899999999998,20,190,210,train,0.51,5.351858133476067,0_low,0_low
147,2011-01-07,1_winter,2011,01,09,0,5_Fri,Yes,1_clear,1.4000000000000004,-4.001200000000001,0.47,19.999499999999998,9,125,134,train,0.47,4.90527477843843,0_low,0_low
148,2011-01-07,1_winter,2011,01,10,0,5_Fri,Yes,1_clear,2.34,-2.9979999999999993,0.37,22.0028,16,47,63,train,0.37,4.1588830833596715,0_low,0_low
149,2011-01-07,1_winter,2011,01,11,0,5_Fri,Yes,2_misty,1.4000000000000004,-2.9979999999999993,0.4,15.001299999999999,19,48,67,train,0.4,4.219507705176107,0_low,0_low
